Prefix (*deleted),ÿCountry Name,ÿContinent,ÿITU Zone,ÿCQ Zone,ÿTime Zone (hrs. from UTC),ÿLatitude,ÿLongitude,ÿITU Prefix Allocations,ÿOther Amateur Prefixes
ÿPK4*,ÿSumatra,ÿOc,ÿ54,ÿ28,ÿ+7,ÿ1S,ÿ100E,ÿ,ÿ
ÿPK5*,ÿNetherlands Borneo,ÿOc,ÿ54,ÿ28,ÿ+8,ÿ3S,ÿ115E,ÿ,ÿ
ÿPK6*,ÿCelebe & Molucca Is,ÿOc,ÿ54,ÿ28,ÿ+8,ÿ5S,ÿ119E,ÿ,ÿ
ÿPY,ÿBrazil,ÿSA,"ÿ12,13,15",ÿ11,ÿ-3,ÿ16S,ÿ48W,"ÿPP-PY,ZV-ZZ",ÿ
ÿPY0F,ÿFernando de Noronha,ÿSA,ÿ13,ÿ11,ÿ-2,ÿ4S,ÿ32W,ÿ,ÿPY0ZF
ÿPY0P,ÿSt Peter & St Paul Rocks,ÿSA,ÿ13,ÿ11,ÿ-2,ÿ1N,ÿ29W,ÿ,ÿPY0ZP
ÿPY0T,ÿTrindade & Martin Vaz Is,ÿSA,ÿ15,ÿ11,ÿ-2,ÿ21S,ÿ29W,ÿ,ÿPY0ZT
ÿPZ,ÿSurinam,ÿSA,ÿ12,ÿ09,ÿ-3.5,ÿ6N,ÿ55W,ÿPZ,ÿ
ÿR1FJ,ÿFranz Josef Land,ÿEu,ÿ75,ÿ40,ÿ+3,ÿ81N,ÿ48E,ÿ,ÿ4K2
ÿR1MV,ÿMalyj Vysotskij Is,ÿEu,ÿ29,ÿ16,ÿ+3,ÿ61N,ÿ29E,ÿ,ÿ4J1
ÿS0,ÿWestern Sahara,ÿAf,ÿ46,ÿ33,ÿ+0,ÿ27N,ÿ13W,ÿS0,ÿ
ÿS2,ÿBangladesh,ÿAs,ÿ41,ÿ22,ÿ+6,ÿ24N,ÿ90E,ÿS2-S3,ÿ
ÿS5,ÿSlovenia,ÿEu,ÿ28,ÿ15,ÿ+1,ÿ46N,ÿ15E,ÿS5,ÿ
ÿS7,ÿSeychelles,ÿAf,ÿ53,ÿ39,ÿ+4,ÿ5S,ÿ55E,ÿS7,ÿ
ÿS9,ÿSao Tome & Principe,ÿAf,ÿ47,ÿ36,ÿ+0,ÿ0N,ÿ7E,ÿS9,ÿ
ÿSM,ÿSweden,ÿEu,ÿ18,ÿ14,ÿ+1,ÿ59N,ÿ18E,"ÿ7S,8S,SA-SM",ÿ
ÿSP,ÿPoland,ÿEu,ÿ28,ÿ15,ÿ+1,ÿ52N,ÿ21E,"ÿ3Z,HF,SN-SR",ÿ
ÿST,ÿSudan,ÿAf,ÿ48,ÿ34,ÿ+2,ÿ16N,ÿ33E,"ÿ6T-6U,SSN-SSZ,ST",ÿ
ÿST0*,ÿSouthern Sudan,ÿAf,ÿ48,ÿ34,ÿ+2,ÿ5N,ÿ32E,ÿ,ÿ
ÿSU,ÿEgypt,"ÿAf,As",ÿ38,ÿ34,ÿ+2,ÿ31N,ÿ31E,"ÿ6A-6B,SSA-SSM,SU",ÿ
ÿSV,ÿGreece,ÿEu,ÿ28,ÿ20,ÿ+2,ÿ38N,ÿ24E,"ÿJ4,SV-SZ",ÿ
